sofifa_id|contract_tier|rep_stars
158023|Tier A|5
20801|Tier A|5
190871|Tier A|5
200389|Tier A|3
183277|Tier A|4
192985|Tier A|4
192448|Tier A|3
203376|Tier A|3
177003|Tier A|4
209331|Tier A|3
231747|Tier A|3
201024|Tier A|3
202126|Tier A|3
212831|Tier A|3
193080|Tier A|4
215914|Tier A|3
138956|Tier A|4
153079|Tier A|4
155862|Tier A|4
176580|Tier A|5
188545|Tier A|4
189511|Tier A|4
194765|Tier A|4
211110|Tier A|3
195864|Tier A|4
210257|Tier A|2
202652|Tier A|3
190460|Tier A|3
192119|Tier A|4
152729|Tier A|4
162835|Tier A|3
167495|Tier A|5
167948|Tier A|4
168542|Tier A|4
179813|Tier A|4
182493|Tier A|3
182521|Tier A|4
188350|Tier A|4
188567|Tier A|3
208722|Tier A|3
212218|Tier A|2
218667|Tier A|2
200145|Tier A|3
200104|Tier A|3
135507|Tier A|3
164240|Tier A|4
165153|Tier A|4
172871|Tier A|3
175943|Tier A|3
178603|Tier A|4
184087|Tier A|3
189332|Tier A|3
189509|Tier A|3
193041|Tier A|3
198219|Tier A|3
222492|Tier A|2
207865|Tier A|3
232363|Tier A|1
199556|Tier A|3
205600|Tier A|3
186153|Tier A|3
212622|Tier A|3
197781|Tier A|3
201942|Tier A|3
168651|Tier A|4
180206|Tier A|3
183898|Tier A|4
184344|Tier A|3
189242|Tier A|3
189513|Tier A|2
189596|Tier A|4
192387|Tier A|3
193301|Tier A|3
235243|Tier A|3
230621|Tier A|3
228702|Tier A|3
201535|Tier A|3
212190|Tier A|2
223848|Tier A|2
231866|Tier A|2
208421|Tier A|3
209499|Tier A|3
216267|Tier A|1
216460|Tier A|2
220440|Tier A|2
212198|Tier A|2
199482|Tier A|2
185122|Tier A|2
189117|Tier A|3
192505|Tier A|3
192774|Tier A|3
194404|Tier A|2
197445|Tier A|4
201399|Tier A|3
204963|Tier A|3
208670|Tier A|3
41236|Tier A|5
143076|Tier A|3
167664|Tier A|4
170890|Tier A|3
173731|Tier A|4
176676|Tier A|4
177413|Tier A|3
191043|Tier A|3
192629|Tier A|2
193747|Tier A|3
198710|Tier A|4
199914|Tier A|2
233049|Tier B|2
235790|Tier B|1
231443|Tier B|3
206585|Tier B|1
210514|Tier B|2
211117|Tier B|3
220814|Tier B|3
230658|Tier B|2
202556|Tier B|3
209658|Tier B|3
212194|Tier B|2
213345|Tier B|2
206113|Tier B|2
216594|Tier B|3
192563|Tier B|3
198706|Tier B|2
212462|Tier B|3
236583|Tier B|1
198176|Tier B|3
201995|Tier B|3
120533|Tier B|4
162347|Tier B|3
167628|Tier B|3
168435|Tier B|3
171877|Tier B|3
172879|Tier B|3
176266|Tier B|3
176635|Tier B|4
177610|Tier B|3
177683|Tier B|3
180930|Tier B|3
181291|Tier B|3
181458|Tier B|3
181783|Tier B|3
181872|Tier B|4
183907|Tier B|4
184432|Tier B|3
185020|Tier B|3
186942|Tier B|3
187961|Tier B|3
188377|Tier B|3
190286|Tier B|2
